mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
2L76X64X6.4LLBB,"13,4","63,5",0,0,0,"63,5","63,5",17,"96,6","18,2","2,39","32,8",108,17,"2,52","32,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X6.4X9LLBB,"13,4","63,5",0,0,0,"63,5","63,5",17,"96,6","18,2","2,39","32,8",138,"20,2","2,84","41,1","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X6.4X19LLBB,"13,4","63,5",0,0,0,"63,5","63,5",17,"96,6","18,2","2,39","32,8",177,"24,3","3,23","49,2","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X4.8LLBB,"10,2","63,5",0,0,0,"63,5","63,5","12,9","74,9","13,9","2,41","24,9","79,9","12,6","2,49","23,3","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X4.8X9LLBB,"10,2","63,5",0,0,0,"63,5","63,5","12,9","74,9","13,9","2,41","24,9",102,15,"2,82","29,5","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X64X4.8X19LLBB,"10,2","63,5",0,0,0,"63,5","63,5","12,9","74,9","13,9","2,41","24,9",130,"17,9","3,18","35,6","0,00",0,#DIV/0!,#DIV/0!,0,"0,127"
2L76X51X12.7LLBB,"22,8","50,8",0,0,0,"50,8","50,8","29,2",160,"32,8","2,34","58,3",119,"23,4","2,02",57,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X12.7X9LLBB,"22,8","50,8",0,0,0,"50,8","50,8","29,2",160,"32,8","2,34","58,3",166,"29,8","2,39",71,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X12.7X19LLBB,"22,8","50,8",0,0,0,"50,8","50,8","29,2",160,"32,8","2,34","58,3",228,"37,7","2,79","84,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X9.5LLBB,"17,4","50,8",0,0,0,"50,8","50,8","22,6",128,"25,6","2,38","45,6","86,6",17,"1,96",39,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X9.5X9LLBB,"17,4","50,8",0,0,0,"50,8","50,8","22,6",128,"25,6","2,38","45,6",121,"21,8","2,31","49,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X9.5X19LLBB,"17,4","50,8",0,0,0,"50,8","50,8","22,6",128,"25,6","2,38","45,6",167,"27,7","2,72","60,6","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X7.9LLBB,"14,8","50,8",0,0,0,"50,8","50,8","19,1",110,"21,6","2,4",39,"71,2",14,"1,93","30,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X7.9X9LLBB,"14,8","50,8",0,0,0,"50,8","50,8","19,1",110,"21,6","2,4",39,"99,1","17,9","2,28","39,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X7.9X19LLBB,"14,8","50,8",0,0,0,"50,8","50,8","19,1",110,"21,6","2,4",39,136,"22,5","2,67",49,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X6.4LLBB,"12,2","50,8",0,0,0,"50,8","50,8","15,5","90,7","17,7","2,42","31,8","56,2","11,1","1,9","23,1","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X6.4X9LLBB,"12,2","50,8",0,0,0,"50,8","50,8","15,5","90,7","17,7","2,42","31,8","77,8",14,"2,24","30,5","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X6.4X19LLBB,"12,2","50,8",0,0,0,"50,8","50,8","15,5","90,7","17,7","2,42","31,8",106,"17,5","2,62","37,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X4.8LLBB,"9,2","50,8",0,0,0,"50,8","50,8","11,8","70,3","13,6","2,44","24,4","41,6","8,19","1,88","16,2","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X4.8X9LLBB,"9,2","50,8",0,0,0,"50,8","50,8","11,8","70,3","13,6","2,44","24,4","57,4","10,3","2,21","21,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L76X51X4.8X19LLBB,"9,2","50,8",0,0,0,"50,8","50,8","11,8","70,3","13,6","2,44","24,4","79,1","13,1","2,59","27,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X9.5LLBB,"15,8","50,8",0,0,0,"50,8","50,8",20,"76,2","17,9","1,95","32,1","85,7","16,9","2,07","37,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X9.5X9LLBB,"15,8","50,8",0,0,0,"50,8","50,8",20,"76,2","17,9","1,95","32,1",118,"21,3","2,43","46,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X9.5X19LLBB,"15,8","50,8",0,0,0,"50,8","50,8",20,"76,2","17,9","1,95","32,1",159,"26,4","2,82","56,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X7.9LLBB,"13,4","50,8",0,0,0,"50,8","50,8",17,"65,8","15,2","1,97","27,5","71,2",14,"2,04","29,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X7.9X9LLBB,"13,4","50,8",0,0,0,"50,8","50,8",17,"65,8","15,2","1,97","27,5","97,8","17,5","2,4","37,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X7.9X19LLBB,"13,4","50,8",0,0,0,"50,8","50,8",17,"65,8","15,2","1,97","27,5",133,22,"2,79",46,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X6.4LLBB,"10,8","50,8",0,0,0,"50,8","50,8","13,8","54,5","12,5","1,99","22,6","56,2","11,1","2,02","22,5","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X6.4X9LLBB,"10,8","50,8",0,0,0,"50,8","50,8","13,8","54,5","12,5","1,99","22,6",77,"13,9","2,36",29,"0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X6.4X19LLBB,"10,8","50,8",0,0,0,"50,8","50,8","13,8","54,5","12,5","1,99","22,6",104,"17,2","2,74","35,6","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X4.8LLBB,"8,4","50,8",0,0,0,"50,8","50,8","10,6","42,5","9,6","2,01","17,4",42,"8,28","1,99","15,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X4.8X9LLBB,"8,4","50,8",0,0,0,"50,8","50,8","10,6","42,5","9,6","2,01","17,4","57,4","10,3","2,33","20,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X51X4.8X19LLBB,"8,4","50,8",0,0,0,"50,8","50,8","10,6","42,5","9,6","2,01","17,4","78,3",13,"2,72","25,9","0,00",0,#DIV/0!,#DIV/0!,0,"0,1016"
2L64X38X6.4LLBB,"9,49","38,1",0,0,0,"38,1","38,1","12,2","49,5","11,9","2,01","21,1","23,9","6,28","1,4","14,5","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L64X38X6.4X9LLBB,"9,49","38,1",0,0,0,"38,1","38,1","12,2","49,5","11,9","2,01","21,1","37,5","8,77","1,76","20,3","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L64X38X6.4X19LLBB,"9,49","38,1",0,0,0,"38,1","38,1","12,2","49,5","11,9","2,01","21,1",57,12,"2,16","26,1","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L64X38X4.8LLBB,"7,26","38,1",0,0,0,"38,1","38,1","9,35","38,6","9,18","2,03","16,3","17,6","4,64","1,37","9,98","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L64X38X4.8X9LLBB,"7,26","38,1",0,0,0,"38,1","38,1","9,35","38,6","9,18","2,03","16,3","27,7","6,46","1,72","14,4","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L64X38X4.8X19LLBB,"7,26","38,1",0,0,0,"38,1","38,1","9,35","38,6","9,18","2,03","16,3",42,"8,83","2,12","18,8","0,00",0,#DIV/0!,#DIV/0!,0,"0,0762"
2L203X152X25.4SLBB,131,152,0,0,0,152,152,169,3230,292,"4,37",531,14400,706,"9,22",1520,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X25.4X9SLBB,131,152,0,0,0,152,152,169,3230,292,"4,37",531,15500,744,"9,58",1600,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X25.4X19SLBB,131,152,0,0,0,152,152,169,3230,292,"4,37",531,16700,785,"9,93",1670,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X22.2SLBB,116,152,0,0,0,152,152,148,2910,261,"4,42",470,12500,615,"9,17",1330,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X22.2X9SLBB,116,152,0,0,0,152,152,148,2910,261,"4,42",470,13400,647,"9,53",1400,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X22.2X19SLBB,116,152,0,0,0,152,152,148,2910,261,"4,42",470,14500,682,"9,88",1470,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X19SLBB,100,152,0,0,0,152,152,129,2560,226,"4,45",408,10700,528,"9,12",1130,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X19X9SLBB,100,152,0,0,0,152,152,129,2560,226,"4,45",408,11500,554,"9,45",1190,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X19X19SLBB,100,152,0,0,0,152,152,129,2560,226,"4,45",408,12400,583,"9,8",1250,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X15.9SLBB,"84,4",152,0,0,0,152,152,108,2200,193,"4,5",344,8910,439,"9,07",939,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X15.9X9SLBB,"84,4",152,0,0,0,152,152,108,2200,193,"4,5",344,9570,460,"9,4",991,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X15.9X19SLBB,"84,4",152,0,0,0,152,152,108,2200,193,"4,5",344,10300,485,"9,75",1040,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X14.3SLBB,"76,2",152,0,0,0,152,152,"98,1",2010,175,"4,52",311,7990,393,"9,02",842,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X14.3X9SLBB,"76,2",152,0,0,0,152,152,"98,1",2010,175,"4,52",311,8620,415,"9,37",890,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X14.3X19SLBB,"76,2",152,0,0,0,152,152,"98,1",2010,175,"4,52",311,9280,436,"9,73",936,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X12.7SLBB,"68,2",152,0,0,0,152,152,"87,7",1810,157,"4,55",279,7080,347,"8,99",744,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X12.7X9SLBB,"68,2",152,0,0,0,152,152,"87,7",1810,157,"4,55",279,7660,369,"9,35",787,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X12.7X19SLBB,"68,2",152,0,0,0,152,152,"87,7",1810,157,"4,55",279,8200,385,"9,68",828,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X11.1SLBB,"59,8",152,0,0,0,152,152,"77,4",1610,139,"4,57",246,6240,308,"8,97",646,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X11.1X9SLBB,"59,8",152,0,0,0,152,152,"77,4",1610,139,"4,57",246,6700,323,"9,3",683,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X152X11.1X19SLBB,"59,8",152,0,0,0,152,152,"77,4",1610,139,"4,57",246,7200,339,"9,65",719,"0,00",0,#DIV/0!,#DIV/0!,0,"0,304"
2L203X102X25.4SLBB,111,102,0,0,0,102,102,143,970,129,"2,62",254,14400,706,10,1690,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X25.4X9SLBB,111,102,0,0,0,102,102,143,970,129,"2,62",254,15400,741,"10,4",1750,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X25.4X19SLBB,111,102,0,0,0,102,102,143,970,129,"2,62",254,16500,777,"10,7",1820,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X22.2SLBB,"98,6",102,0,0,0,102,102,126,878,115,"2,64",221,12500,615,"9,93",1480,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X22.2X9SLBB,"98,6",102,0,0,0,102,102,126,878,115,"2,64",221,13400,647,"10,3",1540,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X22.2X19SLBB,"98,6",102,0,0,0,102,102,126,878,115,"2,64",221,14400,678,"10,7",1600,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X19SLBB,"85,4",102,0,0,0,102,102,110,778,101,"2,67",190,10700,526,"9,88",1270,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X19X9SLBB,"85,4",102,0,0,0,102,102,110,778,101,"2,67",190,11500,552,"10,2",1320,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X19X19SLBB,"85,4",102,0,0,0,102,102,110,778,101,"2,67",190,12400,582,"10,6",1370,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X15.9SLBB,72,102,0,0,0,102,102,"92,3",674,"85,7","2,69",159,8870,436,"9,8",1060,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
2L203X102X15.9X9SLBB,72,102,0,0,0,102,102,"92,3",674,"85,7","2,69",159,9530,459,"10,2",1100,"0,00",0,#DIV/0!,#DIV/0!,0,"0,204"
