mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
"W 150 x 13,0",13,148,100,"4,3","4,9",138,118,"16,6",635,"85,8","6,18","96,4",82,"16,4","2,22","25,5","2,6","1,72","10,2","27,49",4181,"0,67"
"W 150 x 18,0",18,153,102,"5,8","7,1",139,119,"23,4",939,"122,8","6,34","139,4",126,"24,7","2,32","38,5","2,69","4,34","7,18","20,48",6683,"0,69"
"W 150 x 22,5 (H)","22,5",152,152,"5,8","6,6",139,119,29,1229,"161,7","6,51","179,6",387,"50,9","3,65","77,9","4,1","4,75","11,52","20,48",20417,"0,88"
"W 150 x 24,0",24,160,102,"6,6","10,3",139,115,"31,5",1384,173,"6,63","197,6",183,"35,9","2,41","55,8","2,73","11,08","4,95","17,48",10206,"0,69"
"W 150 x 29,8 (H)","29,8",157,153,"6,6","9,3",138,118,"38,5",1739,"221,5","6,72","247,5",556,"72,6","3,8","110,8","4,18","10,95","8,23","17,94",30277,"0,9"
"W 150 x 37,1 (H)","37,1",162,154,"8,1","11,6",139,119,"47,8",2244,277,"6,85","313,5",707,"91,8","3,84","140,4","4,22","20,58","6,64","14,67",39930,"0,91"
"W 200 x 15,0",15,200,100,"4,3","5,2",190,170,"19,4",1305,"130,5","8,2","147,9",87,"17,4","2,12","27,3","2,55","2,05","9,62","39,44",8222,"0,77"
"W 200 x 19,3","19,3",203,102,"5,8","6,5",190,170,"25,1",1686,"166,1","8,19","190,6",116,"22,7","2,14","35,9","2,59","4,02","7,85","29,31",11098,"0,79"
"W 200 x 22,5","22,5",206,102,"6,2",8,190,170,29,2029,197,"8,37","225,5",142,"27,9","2,22","43,9","2,63","6,18","6,38","27,42",13868,"0,79"
"W 200 x 26,6","26,6",207,133,"5,8","8,4",190,170,"34,2",2611,"252,3","8,73","282,3",330,"49,6","3,1","76,3","3,54","7,65","7,92","29,34",32477,"0,92"
"W 200 x 31,3","31,3",210,134,"6,4","10,2",190,170,"40,3",3168,"301,7","8,86","338,6",410,"61,2","3,19",94,"3,6","12,59","6,57","26,5",40822,"0,93"
"W 200 x 35,9 (H)","35,9",201,165,"6,2","10,2",181,161,"45,7",3437,342,"8,67","379,2",764,"92,6","4,09",141,"4,5","14,51","8,09","25,9",69502,"1,03"
"W 200 x 41,7 (H)","41,7",205,166,"7,2","11,8",181,157,"53,5",4114,"401,4","8,77","448,6",901,"108,5","4,1","165,7","4,53","23,19","7,03","21,86",83948,"1,04"
"W 200 x 46,1 (H)","46,1",203,203,"7,2",11,181,161,"58,6",4543,"447,6","8,81","495,3",1535,"151,2","5,12","229,5","5,58","22,01","9,23","22,36",141342,"1,19"
"W 200 x 52,0 (H)",52,206,204,"7,9","12,6",181,157,"66,9",5298,"514,4","8,9","572,5",1784,"174,9","5,16","265,8","5,61","33,34","8,1","19,85",166710,"1,19"
"HP 200 x 53,0 (H)",53,204,207,"11,3","11,3",181,161,"68,1",4977,488,"8,55","551,3",1673,"161,7","4,96","248,6","5,57","31,93","9,16","14,28",155075,"1,2"
"W 200 x 59,0 (H)",59,210,205,"9,1","14,2",182,158,76,6140,"584,8","8,99","655,9",2041,"199,1","5,18",303,"5,64","47,69","7,22","17,32",195418,"1,2"
"W 200 x 71,0 (H)",71,216,206,"10,2","17,4",181,161,91,7660,"709,2","9,17","803,2",2537,"246,3","5,28","374,5","5,7","81,66","5,92","15,8",249976,"1,22"
"W 200 x 86,0 (H)",86,222,209,13,"20,6",181,157,"110,9",9498,"855,7","9,26","984,2",3139,"300,4","5,32","458,7","5,77","142,19","5,07","12,06",317844,"1,23"
"W 250 x 17,9","17,9",251,101,"4,8","5,3",240,220,"23,1",2291,"182,6","9,96",211,91,"18,1","1,99","28,8","2,48","2,54","9,53","45,92",13735,"0,88"
"W 250 x 22,3","22,3",254,102,"5,8","6,9",240,220,"28,9",2939,"231,3","10,09","267,7",123,"24,1","2,06","38,4","2,54","4,77","7,39","37,97",18629,"0,89"
"W 250 x 25,3","25,3",257,102,"6,1","8,4",240,220,"32,6",3473,"270,2","10,31","311,1",149,"29,3","2,14","46,4","2,58","7,06","6,07","36,1",22955,"0,89"
"W 250 x 28,4","28,4",260,102,"6,4",10,240,220,"36,6",4046,"311,2","10,51","357,3",178,"34,8","2,2","54,9","2,62","10,34","5,1","34,38",27636,"0,9"
"W 250 x 32,7","32,7",258,146,"6,1","9,1",240,220,"42,1",4937,"382,7","10,83","428,5",473,"64,8","3,35","99,7","3,86","10,44","8,02","36,03",73104,"1,07"
"W 250 x 38,5","38,5",262,147,"6,6","11,2",240,220,"49,6",6057,"462,4","11,05","517,8",594,"80,8","3,46","124,1","3,93","17,63","6,56","33,27",93242,"1,08"
"W 250 x 44,8","44,8",266,148,"7,6",13,240,220,"57,6",7158,"538,2","11,15","606,3",704,"95,1","3,5","146,4","3,96","27,14","5,69","28,95",112398,"1,09"
"HP 250 x 62,0 (H)",62,246,256,"10,5","10,7",225,201,"79,6",8728,"709,6","10,47","790,5",2995,234,"6,13","357,8","6,89","33,46","11,96","19,1",414130,"1,47"
"W 250 x 73,0 (H)",73,253,254,"8,6","14,2",225,201,"92,7",11257,"889,9","11,02","983,3",3880,"305,5","6,47","463,1","7,01","56,94","8,94","23,33",552900,"1,48"
"W 250 x 80,0 (H)",80,256,255,"9,4","15,6",225,201,"101,9",12550,"980,5","11,1","1088,7",4313,"338,3","6,51","513,1","7,04","75,02","8,17","21,36",622878,"1,49"
"HP 250 x 85,0 (H)",85,254,260,"14,4","14,4",225,201,"108,5",12280,"966,9","10,64","1093,2",4225,325,"6,24","499,6",7,"82,07","9,03","13,97",605403,"1,5"
"W 250 x 89,0 (H)",89,260,256,"10,7","17,3",225,201,"113,9",14237,"1095,1","11,18","1224,4",4841,"378,2","6,52","574,3","7,06","102,81","7,4","18,82",712351,"1,5"
"W 250 x 101,0 (H)",101,264,257,"11,9","19,6",225,201,"128,7",16352,"1238,8","11,27",1395,5549,"431,8","6,57","656,3","7,1","147,7","6,56","16,87",828031,"1,51"
"W 250 x 115,0 (H)",115,269,259,"13,5","22,1",225,201,"146,1",18920,"1406,7","11,38","1597,4",6405,"494,6","6,62","752,7","7,16",212,"5,86","14,87",975265,"1,53"
"W 310 x 21,0",21,303,101,"5,1","5,7",292,272,"27,2",3776,"249,2","11,77","291,9",98,"19,5","1,9","31,4","2,42","3,27","8,86","53,25",21628,"0,98"
"W 310 x 23,8","23,8",305,101,"5,6","6,7",292,272,"30,7",4346,285,"11,89","333,2",116,"22,9","1,94","36,9","2,45","4,65","7,54","48,5",25594,"0,99"
"W 310 x 28,3","28,3",309,102,6,"8,9",291,271,"36,5",5500,356,"12,28",412,158,31,"2,08","49,4","2,55","8,14","5,73","45,2",35441,1
"W 310 x 32,7","32,7",313,102,"6,6","10,8",291,271,"42,1",6570,"419,8","12,49","485,3",192,"37,6","2,13","59,8","2,58","12,91","4,72","41,12",43612,1
"W 310 x 38,7","38,7",310,165,"5,8","9,7",291,271,"49,7",8581,"553,6","13,14","615,4",727,"88,1","3,82","134,9","4,38","13,2","8,51","46,66",163728,"1,25"
"W 310 x 44,5","44,5",313,166,"6,6","11,2",291,271,"57,2",9997,"638,8","13,22","712,8",855,103,"3,87",158,"4,41","19,9","7,41",41,194433,"1,26"
"W 310 x 52,0",52,317,167,"7,6","13,2",291,271,67,11909,"751,4","13,33","842,5",1026,"122,9","3,91","188,8","4,45","31,81","6,33","35,61",236422,"1,27"
"HP 310 x 79,0 (H)",79,299,306,11,11,277,245,100,16316,"1091,3","12,77","1210,1",5258,"343,7","7,25","525,4","8,2","46,72","13,91","22,27",1089258,"1,77"
"HP 310 x 93,0 (H)",93,303,308,"13,1","13,1",277,245,"119,2",19682,"1299,1","12,85","1450,3",6387,"414,7","7,32","635,5","8,26","77,33","11,76","18,69",1340320,"1,78"
"W 310 x 97,0 (H)",97,308,305,"9,9","15,4",277,245,"123,6",22284,1447,"13,43","1594,2",7286,"477,8","7,68",725,"8,38","92,12","9,9","24,77",1558682,"1,79"
"W 310 x 107,0 (H)",107,311,306,"10,9",17,277,245,"136,4",24839,"1597,3","13,49","1768,2",8123,"530,9","7,72","806,1","8,41","122,68",9,"22,48",1754271,"1,8"
"HP310 x 110,0 (H)",110,308,310,"15,4","15,5",277,245,141,23703,"1539,1","12,97","1730,6",7707,"497,3","7,39","763,7","8,33","125,66",10,"15,91",1646104,"1,8"
"W 310 x 117,0 (H)",117,314,307,"11,9","18,7",277,245,"149,9",27563,"1755,6","13,56","1952,6",9024,"587,9","7,76","893,1","8,44","161,61","8,21","20,55",1965950,"1,8"
"HP310 x 125,0 (H)",125,312,312,"17,4","17,4",277,245,159,27076,"1735,6","13,05","1963,3",8823,"565,6","7,45","870,6","8,38","177,98","8,97","14,09",1911029,"1,81"
"W 360 x 32,9","32,9",349,127,"5,8","8,5",332,308,"42,1",8358,479,"14,09","547,6",291,"45,9","2,63",72,"3,2","9,15","7,47","53,1",84111,"1,17"
"W 360 x 39,0",39,353,128,"6,5","10,7",332,308,"50,2",10331,"585,3","14,35","667,7",375,"58,6","2,73","91,9","3,27","15,83","5,98","47,32",109551,"1,18"
"W 360 x 44,0",44,352,171,"6,9","9,8",332,308,"57,7",12258,"696,5","14,58","784,3",818,"95,7","3,77",148,"4,43","16,7","8,72","44,7",239091,"1,35"
"W 360 x 51,0",51,355,171,"7,2","11,6",332,308,"64,8",14222,"801,2","14,81","899,5",968,"113,3","3,87","174,7","4,49","24,65","7,37","42,75",284994,"1,36"
"W 360 x 57,8","57,8",358,172,"7,9","13,1",332,308,"72,5",16143,"901,8","14,92","1014,8",1113,"129,4","3,92","199,8","4,53","34,45","6,56","38,96",330394,"1,37"
"W 360 x 64,0",64,347,203,"7,7","13,5",320,288,"81,7",17890,"1031,1","14,8","1145,5",1885,"185,7","4,8","284,5","5,44","44,57","7,52","37,4",523362,"1,46"
"W 360 x 72,0",72,350,204,"8,6","15,1",320,288,"91,3",20169,"1152,5","14,86","1285,9",2140,"209,8","4,84","321,8","5,47","61,18","6,75","33,47",599082,"1,47"
"W 360 x 79,0",79,354,205,"9,4","16,8",320,288,"101,2",22713,"1283,2","14,98",1437,2416,"235,7","4,89","361,9","5,51","82,41","6,1","30,68",685701,"1,48"
"W 360 x 91,0 (H)",91,353,254,"9,5","16,4",320,288,"115,9",26755,"1515,9","15,19","1680,1",4483,353,"6,22","538,1","6,9","92,61","7,74","30,34",1268709,"1,68"
"W 360 x 101,0 (H)",101,357,255,"10,5","18,3",320,286,"129,5",30279,"1696,3","15,29","1888,9",5063,"397,1","6,25","606,1","6,93","128,47","6,97","27,28",1450410,"1,68"
"W 360 x 110,0 (H)",110,360,256,"11,4","19,9",320,288,"140,6",33155,"1841,9","15,36","2059,3",5570,"435,2","6,29","664,5","6,96","161,93","6,43","25,28",1609070,"1,69"
"W 360 x 122,0 (H)",122,363,257,13,"21,7",320,288,"155,3",36599,"2016,5","15,35","2269,8",6147,"478,4","6,29","732,4","6,98","212,7","5,92","22,12",1787806,"1,7"
"W 410 x 38,8","38,8",399,140,"6,4","8,8",381,357,"50,3",12777,"640,5","15,94","736,8",404,"57,7","2,83","90,9","3,49","11,69","7,95","55,84",153190,"1,32"
"W 410 x 46,1","46,1",403,140,7,"11,2",381,357,"59,2",15690,"778,7","16,27","891,1",514,"73,4","2,95","115,2","3,55","20,06","6,25","50,94",196571,"1,33"
"W 410 x 53,0",53,403,177,"7,5","10,9",381,357,"68,4",18734,"929,7","16,55","1052,2",1009,114,"3,84","176,9","4,56","23,38","8,12","47,63",387194,"1,48"
"W 410 x 60,0",60,407,178,"7,7","12,8",381,357,"76,2",21707,"1066,7","16,88","1201,5",1205,"135,4","3,98","209,2","4,65","33,78","6,95","46,42",467404,"1,49"
"W 410 x 67,0",67,410,179,"8,8","14,4",381,357,"86,3",24678,"1203,8","16,91","1362,7",1379,"154,1",4,239,"4,67","48,11","6,22","40,59",538546,"1,5"
"W 410 x 75,0",75,413,180,"9,7",16,381,357,"95,8",27616,"1337,3","16,98","1518,6",1559,"173,2","4,03","269,1","4,7","65,21","5,63","36,8",612784,"1,51"
"W 410 x 85,0",85,417,181,"10,9","18,2",381,357,"108,6",31658,"1518,4","17,07","1731,7",1804,"199,3","4,08","310,4","4,74","94,48","4,97","32,72",715165,"1,52"
"W 460 x 52,0",52,450,152,"7,6","10,8",428,404,"66,6",21370,"949,8","17,91","1095,9",634,"83,5","3,09","131,7","3,79","21,79","7,04","53,21",304837,"1,47"
"W 460 x 60,0",60,455,153,8,"13,3",428,404,"76,2",25652,"1127,6","18,35","1292,1",796,"104,1","3,23","163,4","3,89","34,6","5,75","50,55",387230,"1,49"
"W 460 x 68,0",68,459,154,"9,1","15,4",428,404,"87,6",29851,"1300,7","18,46","1495,4",941,"122,2","3,28","192,4","3,93","52,29",5,"44,42",461163,"1,5"
"W 460 x 74,0",74,457,190,9,"14,5",428,404,"94,9",33415,"1462,4","18,77","1657,4",1661,"174,8","4,18","271,3","4,93","52,97","6,55","44,89",811417,"1,64"
"W 460 x 82,0",82,460,191,"9,9",16,428,404,"104,7",37157,"1615,5","18,84","1836,4",1862,195,"4,22","303,3","4,96","70,62","5,97","40,81",915745,"1,64"
"W 460 x 89,0",89,463,192,"10,5","17,7",428,404,"114,1",41105,"1775,6","18,98","2019,4",2093,218,"4,28",339,"5,01","92,49","5,42","38,44",1035073,"1,65"
"W 460 x 97,0",97,466,193,"11,4",19,428,404,"123,4",44658,"1916,7","19,03","2187,4",2283,"236,6","4,3","368,8","5,03","115,05","5,08","35,44",1137180,"1,66"
"W 460 x 106,0",106,469,194,"12,6","20,6",428,404,"135,1",48978,"2088,6","19,04","2394,6",2515,"259,3","4,32","405,7","5,05","148,19","4,71","32,05",1260063,"1,67"
"W 530 x 66,0",66,525,165,"8,9","11,4",502,478,"83,6",34971,"1332,2","20,46",1558,857,"103,9","3,2",166,"4,02","31,52","7,24","53,73",562854,"1,67"
"W 530 x 72,0",72,524,207,9,"10,9",502,478,"91,6",39969,"1525,5","20,89","1755,9",1615,156,"4,2","244,6","5,16","33,41","9,5","53,13",1060548,"1,84"
"W 530 x 74,0",74,529,166,"9,7","13,6",502,478,"95,1",40969,"1548,9","20,76","1804,9",1041,"125,5","3,31","200,1","4,1","47,39","6,1","49,26",688558,"1,68"
"W 530 x 82,0",82,528,209,"9,5","13,3",501,477,"104,5",47569,"1801,8","21,34","2058,5",2028,"194,1","4,41","302,7","5,31","51,23","7,86","50,25",1340255,"1,85"
"W 530 x 85,0",85,535,166,"10,3","16,5",502,478,"107,7",48453,"1811,3","21,21","2099,8",1263,"152,2","3,42","241,6","4,17","72,93","5,03","46,41",845463,"1,69"
"W 530 x 92,0",92,533,209,"10,2","15,6",502,478,"117,6",55157,"2069,7","21,65","2359,8",2379,"227,6","4,5","354,7","5,36","75,5","6,7","46,84",1588565,"1,86"
"W 530 x 101,0",101,537,210,"10,9","17,4",502,470,130,62198,"2316,5","21,87","2640,4",2693,"256,5","4,55","400,6","5,4","106,04","6,03","43,14",1812734,"1,86"
"W 530 x 109,0",109,539,211,"11,6","18,8",501,469,"139,7",67226,"2494,5","21,94",2847,2952,"279,8","4,6","437,4","5,44","131,38","5,61","40,47",1991291,"1,87"
"W 610 x 101,0",101,603,228,"10,5","14,9",573,541,"130,3",77003,2554,"24,31","2922,7",2951,"258,8","4,76",405,"5,76","81,68","7,65","51,54",2544966,"2,07"
"W 610 x 113,0",113,608,228,"11,2","17,3",573,541,"145,3",88196,"2901,2","24,64","3312,9",3426,"300,5","4,86","469,7","5,82","116,5","6,59","48,34",2981078,"2,08"
"W 610 x 125,0",125,612,229,"11,9","19,6",573,541,"160,1",99184,"3241,3","24,89","3697,3",3933,"343,5","4,96","536,3","5,89","159,5","5,84","45,45",3441766,"2,09"
"W 610 x 140,0",140,617,230,"13,1","22,2",573,541,"179,3",112619,"3650,5","25,06","4173,1",4515,"392,6","5,02",614,"5,94","225,01","5,18","41,27",3981687,"2,1"
"W 610 x 155,0",155,611,324,"12,7",19,573,541,"198,1",129583,"4241,7","25,58","4749,1",10783,"665,6","7,38","1022,6","8,53","200,77","8,53","42,6",9436714,"2,47"
"W 610 x 174,0",174,616,325,14,"21,6",573,541,"222,8",147754,"4797,2","25,75","5383,3",12374,"761,5","7,45","1171,1","8,58","286,88","7,52","38,63",10915665,"2,48"
"W 410x38,8 (mod)","38,8",399,140,"6,35","8,76",381,357,"50,3",12777,"640,5","15,94","736,8",404,"57,7","2,83","90,9","3,49","11,69","7,97","55,84","152524,83","1,34"
"I 508 X 121,2","121,2",508,"177,8","15,2","23,3","461,4","426,3","154,4",61640,2427,"19,98","203,94",1872,210,"3,48","203,94","4,54","203,94","3,8",28,"1281993,99","1,7"
IPE 550 X 106,106,550,210,"11,1","17,2","515,2","467,2",134,67120,2440,"22,38","94,74",2670,254,"4,46","94,74","5,39","94,74","6,1","42,1","1884098,14","1,92"
W1100X499,499,1120,404,"26,2",45,1030,1030,635,1290000,23100,"45,2",26500,49900,2460,"8,86",3870,"10,80",3110,"4,5",38,144000,3760
W1100X433,433,1110,401,22,"40,1","1029,8","1029,8",551,1120000,20300,"45,2",23100,43300,2160,"8,86",3360,"10,70",2120,"5,02",45,124000,3730
W1100X390,390,1100,401,"19,9","36,1","1027,8","1027,8",498,1000000,18200,45,20800,38400,1920,"8,81",2980,"10,60",1550,"5,57","49,6",109000,3730
W1100X343,343,1090,401,18,31,1028,1028,437,866000,15900,"44,5",18000,33100,1660,"8,71",2570,"10,50",1040,"6,45","54,8",92900,3710
W1000X883,883,1090,424,"45,5",82,926,926,1120,2100000,38300,"43,2",45200,105000,4950,"9,65",7880,"11,80",18500,"2,58","19,1",268000,3730
W1000X748,748,1070,417,"39,1","70,1","929,8","929,8",955,1730000,32400,"42,7",38000,84900,4080,"9,45",6460,"11,40",11500,"2,98","22,3",212000,3680
W1000X642,642,1050,411,34,"59,9","930,2","930,2",819,1450000,27700,"42,2",32100,70300,3410,"9,27",5370,"11,20",7370,"3,44","25,5",171000,3630
W1000X591,591,1040,409,31,"55,9","928,2","928,2",755,1330000,25600,"42,2",29500,64100,3130,"9,25",4920,"11,10",5910,"3,66",28,155000,3610
W1000X554,554,1030,409,"29,5","52,1","925,8","925,8",710,1230000,23900,"41,9",27500,59100,2900,"9,14",4540,"11,00",4830,"3,93","29,5",142000,3580
W1000X539,539,1030,406,"28,4","51,1","927,8","927,8",684,1200000,23300,"41,9",26900,57400,2830,"9,14",4420,"11,00",4540,"3,99","30,5",138000,3580
W1000X483,483,1020,404,"25,4",46,928,928,615,1070000,21000,"41,7",23900,50800,2510,"9,09",3920,"10,80",3300,"4,4","34,2",120000,3560
W1000X443,443,1010,401,"23,6","41,9","926,2","926,2",563,966000,19200,"41,4",21800,45400,2260,"8,99",3520,"10,70",2550,"4,8","36,8",107000,3530
W1000X412,412,1010,401,"21,1","40,1","929,8","929,8",526,912000,18000,"41,7",20500,43300,2160,"9,09",3340,"10,80",2140,"5,03","41,2",102000,3530
W1000X371,371,1000,401,"19,1","36,1","927,8","927,8",474,816000,16300,"41,4",18400,38500,1930,"9,02",2980,"10,70",1590,"5,55","45,6",89700,3510
W1000X321,321,991,401,"16,5",31,929,929,410,695000,14100,"41,1",15800,33400,1660,"8,99",2560,"10,60",1030,"6,45","52,6",76300,3510
W1000X296,296,983,401,"16,5","27,2","928,6","928,6",379,620000,12600,"40,6",14200,28900,1450,"8,76",2250,"10,50",762,"7,39","52,6",66100,3480
W1000X584,584,1060,315,"36,1",64,932,932,748,1240000,23600,"40,9",28000,33400,2130,"6,71",3470,"8,38",7160,"2,45","24,1",82200,3250
W1000X494,494,1040,310,31,"54,1","931,8","931,8",630,1030000,19800,"40,4",23400,26800,1740,"6,53",2820,"8,15",4370,"2,86",28,64700,3200
W1000X486,486,1040,307,30,"54,1","931,8","931,8",619,1020000,19700,"40,6",23100,26600,1720,"6,55",2790,"8,15",4290,"2,85",29,64200,3200
W1000X438,438,1030,305,"26,9",49,932,932,556,912000,17700,"40,4",20800,23400,1530,"6,48",2460,"8,03",3190,"3,11","32,2",55900,3180
W1000X415,415,1020,305,"26,2",46,928,928,531,853000,16700,"40,1",19500,21700,1430,"6,4",2290,"7,95",2710,"3,31","33,3",51600,3150
W1000X393,393,1020,302,"24,4","43,9","932,2","932,2",499,807000,15900,"40,1",18500,20500,1350,"6,4",2160,"7,92",2340,"3,45","35,6",48600,3150
W1000X350,350,1010,302,"21,1","40,1","929,8","929,8",446,724000,14300,"40,4",16600,18500,1220,"6,45",1930,"7,90",1720,"3,77","41,2",43200,3120
W1000X314,314,1000,300,"19,1","36,1","927,8","927,8",401,645000,12900,"40,1",14800,16200,1080,"6,38",1720,"7,80",1270,"4,17","45,6",37900,3100
W1000X272,272,991,300,"16,5","30,5",930,930,344,549000,11100,"39,9",12700,13800,918,"6,32",1450,"7,72",803,"4,92","52,6",31700,3100
W1000X249,249,980,300,"16,5","26,2","927,6","927,6",318,483000,9830,"38,9",11400,11800,785,"6,1",1250,"7,57",583,"5,76","52,6",26800,3070
W1000X222,222,970,300,16,"21,1","927,8","927,8",283,408000,8410,"38,1",9800,9530,636,"5,82",1020,"7,34",390,"7,11","54,3",21500,3050
W920X970,970,1040,447,50,"89,9","860,2","860,2",1240,2110000,40300,"41,1",47700,134000,6010,"10,4",9520,"12,60",24700,"2,48","16,3",303000,3730
W920X787,787,1010,437,"40,9","73,9","862,2","862,2",1010,1650000,32600,"40,6",38200,104000,4740,"10,2",7440,"12,20",13600,"2,96","19,9",227000,3660
W920X725,725,998,434,"38,1","68,1","861,8","861,8",923,1500000,30000,"40,1",34900,93700,4310,"10,1",6750,"12,00",10700,"3,19","21,4",202000,3610
W920X656,656,988,432,"34,5",62,864,864,839,1340000,27000,"39,9",31300,82800,3850,"9,96",6030,"11,90",8070,"3,48","23,6",178000,3580
W920X588,588,975,427,31,"55,9","863,2","863,2",748,1190000,24400,"39,9",28000,72800,3410,"9,86",5330,"11,70",5910,"3,83","26,3",154000,3560
W920X537,537,965,424,"28,4","51,1","862,8","862,8",684,1070000,22100,"39,6",25400,65300,3080,"9,78",4800,"11,60",4540,"4,16","28,6",137000,3530
W920X491,491,958,422,"25,9",47,864,864,625,970000,20300,"39,4",23100,59100,2800,"9,73",4340,"11,50",3510,"4,49","31,4",122000,3510
W920X449,449,947,424,24,"42,7","861,6","861,6",574,878000,18500,"39,1",21000,54100,2560,"9,7",3950,"11,50",2680,"4,96","33,9",111000,3510
W920X420,420,942,422,"22,5","39,9","862,2","862,2",535,816000,17200,"39,1",19500,49900,2360,"9,65",3650,"11,40",2190,"5,29","36,2",102000,3480
W920X390,390,937,422,"21,3","36,6","863,8","863,8",498,745000,15900,"38,9",18000,45400,2160,"9,55",3340,"11,30",1730,"5,75","38,2",91800,3480
W920X368,368,932,419,"20,3","34,3","863,4","863,4",468,695000,15000,"38,6",16900,42000,2020,"9,5",3110,"11,20",1440,"6,11","40,1",84900,3450
W920X344,344,927,419,"19,3",32,863,863,440,649000,14000,"38,4",15800,39100,1870,"9,42",2880,"11,20",1190,"6,54","42,2",78400,3450
W920X381,381,951,310,"24,4","43,9","863,2","863,2",486,699000,14700,"37,8",17000,22000,1420,"6,73",2250,"8,23",2200,"3,53","33,8",45100,3050
W920X345,345,943,307,"22,1","39,9","863,2","863,2",439,624000,13300,"37,6",15300,19500,1270,"6,65",2000,"8,15",1650,"3,86","37,3",39700,3050
W920X313,313,932,310,"21,1","34,5",863,863,399,549000,11800,"37,1",13700,17100,1110,"6,55",1750,"8,08",1170,"4,48","39,1",34400,3020
W920X289,289,927,307,"19,4",32,863,863,368,504000,10900,"37,1",12600,15600,1010,"6,5",1600,"8,00",924,"4,81","42,4",31200,3020
W920X271,271,922,307,"18,4",30,862,862,346,470000,10200,"36,8",11800,14400,944,"6,48",1490,"7,95",770,"5,12","44,8",28700,3000
W920X253,253,919,305,"17,3","27,9","863,2","863,2",323,437000,9520,"36,8",10900,13300,872,"6,43",1370,"7,90",629,"5,47","47,7",26500,3000
W920X238,238,914,305,"16,5","25,9","862,2","862,2",303,406000,8880,"36,6",10200,12300,805,"6,35",1270,"7,85",516,"5,88","49,9",24200,2970
W920X223,223,912,305,"15,9","23,9","864,2","864,2",286,376000,8260,"36,3",9520,11200,739,"6,27",1160,"7,77",420,"6,37","51,9",22100,2970
W920X201,201,904,305,"15,2","20,1","863,8","863,8",257,325000,7190,"35,6",8340,9370,618,"6,05",978,"7,59",291,"7,56","54,1",18300,2970
W840X576,576,914,411,32,"57,9","798,2","798,2",735,1010000,22100,"37,1",25600,67400,3280,"9,58",5110,"11,40",6160,"3,55","23,7",123000,3380
W840X527,527,904,409,"29,5","53,1","797,8","797,8",671,916000,20300,"36,8",23300,60800,2970,"9,5",4620,"11,30",4790,"3,85","25,7",110000,3350
W840X473,473,894,406,"26,4",48,798,798,605,812000,18200,"36,8",20800,53700,2640,"9,42",4100,"11,20",3510,"4,23","28,7",95900,3330
W840X433,433,884,404,"24,4","43,9","796,2","796,2",552,737000,16700,"36,6",19000,48300,2390,"9,35",3700,"11,00",2710,"4,6",31,85700,3300
W840X392,392,876,401,"22,1","39,9","796,2","796,2",499,662000,15100,"36,3",17000,43300,2150,"9,3",3310,"10,90",2030,"5,03","34,3",75500,3280
W840X359,359,869,404,"21,1","35,6","797,8","797,8",459,591000,13600,"35,8",15400,38800,1930,"9,19",2980,"10,90",1510,"5,66","35,9",67400,3280
W840X329,329,861,401,"19,7","32,5",796,796,421,537000,12400,"35,8",14000,35000,1740,"9,12",2690,"10,80",1160,"6,2","38,5",60200,3250
W840X299,299,856,399,"18,2","29,2","797,6","797,6",381,483000,11200,"35,6",12700,31200,1560,"9,04",2410,"10,70",866,"6,85","41,7",53200,3230
W840X251,251,859,292,17,31,797,797,319,387000,9000,"34,8",10300,12900,883,"6,35",1380,"7,70",737,"4,71","44,7",22100,2820
W840X226,226,851,295,"16,1","26,9","797,2","797,2",290,340000,7980,"34,3",9160,11400,773,"6,27",1210,"7,65",516,"5,48","47,2",19300,2820
W840X210,210,846,292,"15,4","24,4","797,2","797,2",268,310000,7340,34,8420,10200,700,"6,17",1100,"7,57",404,"6,01","49,6",17300,2790
W840X193,193,841,292,"14,7","21,7","797,6","797,6",247,279000,6650,"33,5",7650,9070,621,"6,07",975,"7,47",307,"6,73","51,7",15200,2790
W840X176,176,836,292,14,"18,8","798,4","798,4",224,246000,5880,33,6800,7780,534,"5,89",841,"7,34",221,"7,76","54,5",13000,2770
W760X582,582,843,396,"34,5",62,719,719,742,862000,20500,34,23800,64500,3240,"9,32",5080,"11,10",7200,"3,19","19,7",98300,3180
W760X531,531,833,394,"31,5","56,9","719,2","719,2",677,778000,18700,"33,8",21600,57900,2930,"9,25",4570,"10,90",5580,"3,45","21,6",87000,3150
W760X484,484,823,391,29,"52,1","718,8","718,8",619,699000,17000,"33,5",19500,51600,2650,"9,14",4130,"10,80",4290,"3,75","23,4",77100,3120
W760X434,434,813,389,"25,9",47,719,719,555,620000,15200,"33,5",17400,45800,2360,"9,09",3650,"10,70",3130,"4,12","26,2",67100,3100
W760X389,389,803,386,"23,6","41,9","719,2","719,2",497,545000,13600,"33,3",15500,39900,2080,"8,97",3210,"10,60",2250,"4,59","28,7",57700,3070
