mm x kg/m,Massa Linear (Kg/m),d (Altura do perfil mm),bf (mm),tw Espessura da Alma (mm),tf Espessura da Mesa (mm),h (Distância entre mesas mm),d' (Altura Livre da Alma-mm),Área(cm²),Ix (cm⁴),Wx (cm³),rx (cm),Zx (cm³),Iy (cm⁴),Wy (cm³),ry (cm),Zy (cm³),rt (cm),It (cm⁴),Esbeltez da Mesa (bf/2tf),Esbeltez da Alma (d'/tw),Cw (cm⁶),u (Área de pintura - m²/m)
HSS254X101.6X12.7,"62,4",0,0,0,0,,,"74,8",5370,423,"8,48",559,1230,241,"4,04",288,0,3440,0,0,0,0
HSS254X101.6X9.5,"48,4",0,0,0,0,,,"57,9",4330,341,"8,66",442,1010,198,"4,17",229,0,2770,0,0,0,0
HSS254X101.6X7.9,41,0,0,0,0,,,49,3750,295,"8,74",379,882,174,"4,24",198,0,2390,0,0,0,0
HSS254X101.6X6.4,"33,3",0,0,0,0,,,"39,8",3110,244,"8,84",311,737,145,"4,32",164,0,1970,0,0,0,0
HSS254X101.6X4.8,"25,4",0,0,0,0,,,"30,1",2410,190,"8,94",239,579,114,"4,37",126,0,1520,0,0,0,0
HSS254X101.6X3.2,"17,2",0,0,0,0,,,"20,4",1660,131,"9,02",164,402,"79,1","4,45","86,2",0,1040,0,0,0,0
HSS254X88.9X12.7,"59,8",0,0,0,0,,,"71,6",4910,388,"8,28",523,891,200,"3,53",241,0,2630,0,0,0,0
HSS254X88.9X9.5,"46,5",0,0,0,0,,,"55,6",4000,315,"8,48",415,741,167,"3,66",193,0,2140,0,0,0,0
HSS254X88.9X7.9,"39,5",0,0,0,0,,,"47,1",3460,272,"8,59",356,649,146,"3,71",167,0,1860,0,0,0,0
HSS254X88.9X6.4,32,0,0,0,0,,,"38,3",2880,226,"8,66",293,545,123,"3,78",138,0,1540,0,0,0,0
HSS254X88.9X4.8,"24,5",0,0,0,0,,,29,2230,175,"8,76",225,429,"96,5","3,84",107,0,1190,0,0,0,0
HSS254X88.9X3.2,"16,6",0,0,0,0,,,"19,6",1540,121,"8,86",154,301,"67,5","3,91","73,4",0,824,0,0,0,0
HSS254X76.2X9.5,"44,6",0,0,0,0,,,"53,4",3660,288,"8,28",388,516,136,"3,1",159,0,1570,0,0,0,0
HSS254X76.2X7.9,"37,9",0,0,0,0,,,"45,2",3180,251,"8,38",333,458,120,"3,18",138,0,1370,0,0,0,0
HSS254X76.2X6.4,"30,8",0,0,0,0,,,"36,8",2650,208,"8,48",274,386,101,"3,25",115,0,1150,0,0,0,0
HSS254X76.2X4.8,"23,5",0,0,0,0,,,"27,9",2060,162,"8,59",210,305,"80,1","3,3","88,7",0,895,0,0,0,0
HSS254X76.2X3.2,"15,9",0,0,0,0,,,"18,9",1420,112,"8,69",144,215,"56,4","3,38","61,3",0,620,0,0,0,0
HSS254X50.8X9.5,"40,8",0,0,0,0,,,"48,9",2980,234,"7,82",333,196,77,2,"94,4",0,662,0,0,0,0
HSS254X50.8X7.9,"34,7",0,0,0,0,,,"41,5",2610,205,"7,92",287,176,"69,5","2,06","82,9",0,591,0,0,0,0
HSS254X50.8X6.4,"28,3",0,0,0,0,,,"33,8",2190,172,"8,05",236,153,"60,1","2,13","69,8",0,508,0,0,0,0
HSS254X50.8X4.8,"21,6",0,0,0,0,,,"25,7",1710,134,"8,15",182,124,"48,7","2,19","54,7",0,405,0,0,0,0
HSS254X50.8X3.2,"14,7",0,0,0,0,,,"17,4",1190,"93,4","8,26",125,"89,1","35,1","2,26","38,2",0,287,0,0,0,0
HSS228.6X228.6X15.9,101,0,0,0,0,,,121,8990,785,"8,64",952,8990,785,"8,64",952,0,14800,0,0,0,0
HSS228.6X228.6X12.7,"82,6",0,0,0,0,,,"98,7",7620,665,"8,76",793,7620,665,"8,76",793,0,12300,0,0,0,0
HSS228.6X228.6X9.5,"63,6",0,0,0,0,,,"76,1",6040,528,"8,92",619,6040,528,"8,92",619,0,9610,0,0,0,0
HSS228.6X228.6X7.9,"53,6",0,0,0,0,,,64,5160,452,"8,99",526,5160,452,"8,99",526,0,8160,0,0,0,0
HSS228.6X228.6X6.4,"43,4",0,0,0,0,,,"51,8",4250,372,"9,04",429,4250,372,"9,04",429,0,6620,0,0,0,0
HSS228.6X228.6X74.8,33,0,0,0,0,,,"39,1",3250,285,"9,12",328,3250,285,"9,12",328,0,5040,0,0,0,0
HSS228.6X228.6X3.2,"22,3",0,0,0,0,,,"26,4",2230,195,"9,19",223,2230,195,"9,19",223,0,3410,0,0,0,0
HSS228.6X177.8X15.9,88,0,0,0,0,,,106,7240,634,"8,28",791,4870,549,"6,81",664,0,9780,0,0,0,0
HSS228.6X177.8X12.7,"72,5",0,0,0,0,,,"87,1",6200,541,"8,43",664,4160,470,"6,93",557,0,8200,0,0,0,0
HSS228.6X177.8X9.5,56,0,0,0,0,,,"67,1",4950,433,"8,59",521,3350,377,"7,06",438,0,6410,0,0,0,0
HSS228.6X177.8X7.9,"47,4",0,0,0,0,,,"56,5",4250,370,"8,66",444,2880,324,"7,14",374,0,5450,0,0,0,0
HSS228.6X177.8X6.4,"38,4",0,0,0,0,,,"45,8",3500,306,"8,74",364,2380,267,"7,21",306,0,4450,0,0,0,0
HSS228.6X177.8X4.8,"29,3",0,0,0,0,,,"34,6",2690,236,"8,81",277,1840,206,"7,29",234,0,3400,0,0,0,0
HSS228.6X127X15.9,"75,3",0,0,0,0,,,"90,3",5540,485,"7,82",631,2160,341,"4,88",415,0,5330,0,0,0,0
HSS228.6X127X12.7,"62,4",0,0,0,0,,,"74,8",4790,418,"7,98",533,1880,297,5,352,0,4540,0,0,0,0
HSS228.6X127X9.5,"48,4",0,0,0,0,,,"57,9",3850,336,"8,15",421,1530,241,"5,16",280,0,3620,0,0,0,0
HSS228.6X127X7.9,41,0,0,0,0,,,49,3320,290,"8,23",361,1330,210,"5,21",239,0,3100,0,0,0,0
HSS228.6X127X6.4,"33,3",0,0,0,0,,,"39,8",2750,241,"8,31",297,1110,174,"5,28",197,0,2550,0,0,0,0
HSS228.6X127X4.8,"25,4",0,0,0,0,,,"30,1",2130,187,"8,41",226,862,136,"5,33",152,0,1950,0,0,0,0
HSS228.6X76.2X12.7,"52,2",0,0,0,0,,,"62,8",3360,295,"7,32",403,549,144,"2,97",177,0,1660,0,0,0,0
HSS228.6X76.2X9.5,"40,8",0,0,0,0,,,"48,9",2760,241,"7,52",323,466,122,"3,07",144,0,1380,0,0,0,0
HSS228.6X76.2X7.9,"34,7",0,0,0,0,,,"41,5",2400,210,"7,62",277,411,108,"3,15",125,0,1200,0,0,0,0
HSS228.6X76.2X6.4,"28,3",0,0,0,0,,,"33,8",2010,175,"7,72",229,349,"91,6","3,23",104,0,1010,0,0,0,0
